PlayerName,Position,BodyFatPercentage,HandLength_Inches,HandWidth_Inches,HeightWithoutShoes_Inches,HeightWithShoes_Inches,StandingReach_Inches,Weight_lbs,Wingspan_Inches,ID,Rank,PickNumber,Team,College,PlayedOverseas,YearsPlayed,GamesPlayed,TotalMinutesPlayed,TotalPoints,TotalRebounds,TotalAssists,FieldGoalPercentage,ThreePointPercentage,FreeThrowPercentage,WinShares,WinSharesPer48Minutes,BoxPlusMinus,ValueOverReplacementPlayer,DraftYear,MinutesPerGame,PointsPerGame,ReboundsPerGame,AssistsPerGame
og anunoby,SF,0.07,9.25,9.5,78.25,79.75,107.5,232.4,86.25,1591,23,23,TOR,Indiana,DOMESTIC,5.0,295,33406,3056,1213,414,0.469,0.369,0.706,16.8,0.103,0.0,4.0,2017,26.7,10.4,4.1,1.4
dwayne bacon,SG-SF,0.08,8.75,10.0,76.75,78.25,103.5,221.6,82.0,1608,40,40,NOP,Florida State,DOMESTIC,4.0,207,33406,1503,537,230,0.402,0.314,0.78,0.8,0.01,-5.1,-3.1,2017,19.4,7.3,2.6,1.1
jordan bell,PF,0.05,9.25,9.5,79.0,80.5,104.5,223.6,83.75,1606,38,38,CHI,Oregon,DOMESTIC,5.0,161,33406,593,497,201,0.552,0.2,0.636,4.9,0.121,0.2,1.1,2017,12.0,3.7,3.1,1.2
tony bradley,C,0.12,9.5,9.5,81.25,82.75,112.5,248.8,89.0,1596,28,28,LAL,UNC,DOMESTIC,5.0,157,33406,748,699,84,0.635,0.429,0.675,7.3,0.184,0.3,1.1,2017,12.2,4.8,4.5,0.5
dillon brooks,SG-SF,0.08,8.25,9.25,77.0,78.0,100.5,220.2,78.0,1613,45,45,HOU,Oregon,DOMESTIC,5.0,261,33406,3752,796,515,0.42,0.351,0.8,4.8,0.031,-3.8,-3.4,2017,28.3,14.4,3.0,2.0
thomas bryant,PF-C,0.09,9.5,10.25,81.5,82.75,112.5,247.8,90.0,1610,42,42,UTA,Indiana,DOMESTIC,5.0,159,33406,1661,927,211,0.593,0.356,0.755,11.4,0.167,1.7,3.0,2017,20.5,10.4,5.8,1.3
zach collins,PF-C,0.09,8.75,9.25,82.25,84.0,111.0,232.2,85.0,1578,10,10,SAC,Gonzaga,DOMESTIC,4.0,159,33406,910,640,150,0.444,0.327,0.717,4.0,0.069,-2.6,-0.4,2017,17.4,5.7,4.0,0.9
john collins,PF,0.05,9.0,10.0,80.25,81.5,106.5,225.2,83.25,1587,19,19,ATL,Wake Forest,DOMESTIC,5.0,289,33406,4800,2416,451,0.562,0.382,0.78,28.3,0.162,1.5,7.5,2017,29.0,16.6,8.4,1.6
hamidou diallo,SG-SF,0.05,8.5,9.5,75.75,77.0,101.5,197.4,83.25,1673,45,45,BRK,Kentucky,DOMESTIC,4.0,200,33406,1676,787,218,0.473,0.276,0.634,4.6,0.058,-2.5,-0.5,2018,19.0,8.4,3.9,1.1
hamidou diallo,SG,0.04,8.75,9.0,76.25,78.0,103.0,197.0,83.5,1673,45,45,BRK,Kentucky,DOMESTIC,4.0,200,33406,1676,787,218,0.473,0.276,0.634,4.6,0.058,-2.5,-0.5,2018,19.0,8.4,3.9,1.1
